  0.00000000000000e+00   0.00000000000000e+00   1.00000000000000e+00   0.00000000000000e+00 
  2.58820906479422e-02   2.74661489901874e-03   9.99661202586273e-01   5.02512562814070e-03 
  5.07447249744527e-02   1.08616162227879e-02   9.98652905095945e-01   1.00502512562814e-02 
  7.36519085669026e-02   2.39899083935741e-02   9.96995440831066e-01   1.50753768844221e-02 
  9.37888314663818e-02   4.15936838886280e-02   9.94722296260870e-01   2.01005025125628e-02 
  1.10533249746743e-01   6.30115707270100e-02   9.91872741369684e-01   2.51256281407035e-02 
  1.23419206283296e-01   8.75205088942547e-02   9.88488185578849e-01   3.01507537688442e-02 
  1.32141490084830e-01   1.14369088872740e-01   9.84610275919525e-01   3.51758793969849e-02 
  1.36558058921746e-01   1.42848962130319e-01   9.80278008691216e-01   4.02010050251256e-02 
  1.36628584528394e-01   1.72281011149812e-01   9.75528078250876e-01   4.52261306532663e-02 
  1.32384915711513e-01   2.02010389301119e-01   9.70394571099111e-01   5.02512562814070e-02 
  1.23965905768140e-01   2.31481345508044e-01   9.64905986459737e-01   5.52763819095477e-02 
  1.11573507761325e-01   2.60199943206220e-01   9.59087437235054e-01   6.03015075376884e-02 
  9.54135085438316e-02   2.87678298816044e-01   9.52963744559412e-01   6.53266331658292e-02 
  7.57408776516572e-02   3.13516759291265e-01   9.46555590438716e-01   7.03517587939698e-02 
  5.28523602967398e-02   3.37390614429886e-01   9.39880141111181e-01   7.53768844221106e-02 
  2.70464256376784e-02   3.58979616943223e-01   9.32954377721468e-01   8.04020100502513e-02 
 -1.36696451106422e-03   3.78023847341432e-01   9.25793154732390e-01   8.54271356783920e-02 
 -3.20648597823614e-02   3.94331566266547e-01   9.18408923113652e-01   9.04522613065327e-02 
 -6.47236315543427e-02   4.07715434234834e-01   9.10813983454116e-01   9.54773869346734e-02 
 -9.90207044309617e-02   4.18029375091344e-01   9.03019445013729e-01   1.00502512562814e-01 
 -1.34635090784307e-01   4.25189518332655e-01   8.95034621089928e-01   1.05527638190955e-01 
 -1.71245985591836e-01   4.29117328055348e-01   8.86868671744629e-01   1.10552763819095e-01 
 -2.08539847353277e-01   4.29760311120200e-01   8.78530116217351e-01   1.15577889447236e-01 
 -2.46217861900162e-01   4.27118778029967e-01   8.70026174432544e-01   1.20603015075377e-01 
 -2.83983008324236e-01   4.21199450506066e-01   8.61363908643444e-01   1.25628140703518e-01 
 -3.21546417829514e-01   4.12024961509218e-01   8.52550052451987e-01   1.30653266331658e-01 
